Ticker,Name,Exchange,categoryName,categoryNr
AXE.SG,Alexander's Inc.,STU,None,0
PRG.V,Precipitate Gold Corp.,VAN,Gold,134
MGS.V,Musgrove Minerals Corp.,VAN,None,0
ATCV,ATC Venture Group Inc.,PNK,None,0
UBI.PA,Ubisoft Entertainment SA,PAR,Multimedia & Graphics Software,820
PREM.L,Premier African Minerals Limited,LSE,Industrial Metals & Minerals,133
ORVENPR.BO,Oriental Veneer Products Ltd.,BSE,Home Furnishings & Fixtures,311
FMEA.DE,Fresenius Medical Care AG & Co. KGAA,GER,Hospitals,524
XRG.BE,XIAMEN INT PRT -H-,BER,Shipping,775
SUP.V,"Northern Superior Resources, Inc.",VAN,Gold,134
NJR.F,NEW JAPAN RADIO,FRA,Diversified Electronics,836
GETVF,"Mediaset España Comunicación, SA",PNK,None,0
EUCI.ST,Eurocine Vaccines AB,STO,Biotechnology,515
MIL.L,Myanmar Investments International Limited,LSE,Asset Management,422
GETVY,"Mediaset España Comunicación, SA",PNK,None,0
XME.V,Xmet Inc.,VAN,Gold,134
IHC.L,Inspiration Healthcare Group plc,LSE,Conglomerates,210
EB9.BE,AFRICAN RAINB MINL,BER,Industrial Metals & Minerals,133
JCM.SG,JAPAN CASH MACHINE,STU,Business Equipment,313
VXXKRD-A.A,None,None,None,0
NBR.V,Nubian Resources Ltd,VAN,Industrial Metals & Minerals,133
7178@OM.KL,Y.S.P.SOUTHEAST ASIA HOLDING,KLS,None,0
MAOTF,Itissalat Al-Maghrib (IAM) S.A.,PNK,None,0
UEC,Uranium Energy Corp.,ASE,Industrial Metals & Minerals,133
OZT.F,GRIFOLS A,FRA,None,0
GRT-UN.TO,GRANITE REAL ESTATE INVESTMENT ,TOR,None,0
NBR.L,Namibian Resources plc,LSE,Industrial Metals & Minerals,133
ZOREN.IS,Zorlu Enerji Elektrik Uretim A.S.,IST,None,0
NTIP,"Network-1 Technologies, Inc.",PNK,Communication Equipment,841
QB7.BE,QUIRIN BANK,BER,Money Center Banks,410
APRYY,APR Energy plc,PNK,None,0
NTO.DU,NINTENDO CO LTD,DUS,Multimedia & Graphics Software,820
ICAEF,"Empresas ICA, S.A.B. de C.V.",PNK,None,0
NTIC,Northern Technologies International Corp.,NGM,Specialty Chemicals,113
STHI,"Sprout Tiny Homes, Inc.",PNK,None,0
LEA,Lear Corp.,NYQ,Auto Parts,333
SMLP,"Summit Midstream Partners, LP",NYQ,Oil & Gas Pipelines,125
LEE,"Lee Enterprises, Incorporated",NYQ,Publishing - Newspapers,727
SMLR,Semler Scientific Inc,NCM,Medical Appliances & Equipment,521
LEG,"Leggett & Platt, Incorporated",NYQ,Home Furnishings & Fixtures,311
QRT.L,"Quarto Group, Inc.",LSE,Publishing - Newspapers,727
LEI,"Lucas Energy, Inc.",ASE,Independent Oil & Gas,121
LEN,Lennar Corporation,NYQ,Residential Construction,630
LEO,"Dreyfus Strategic Municipals, Inc.",NYQ,Closed-End Fund - Debt,425
IMOS,ChipMOS TECHNOLOGIES (Bermuda) LTD.,NCM,Semiconductor Equipment & Materials,834
LEU,Centrus Energy Corp.,ASE,Industrial Metals & Minerals,133
GALEF,WOLF RESOURCE DEVELO,PNK,None,0
WOMF.JK,Wahana Ottomitra Multiartha Tbk,JKT,None,0
IEX,IDEX Corporation,NYQ,Diversified Machinery,622
YTR.HM,AURELIA METALS,HAM,None,0
ZOT-D.MC,ZARDOYA OTIS RA15,MCE,None,0
GEI.TO,Gibson Energy Inc.,TOR,Oil & Gas Pipelines,125
KHDHF,KHD Humboldt Wedag International AG,PNK,None,0
QIHU,Qihoo 360 Technology Co. Ltd.,NYQ,Information Technology Services,824
ZEGG,"2050 MOTORS, INC.",PNK,None,0
SAB.MC,BANCO SABADELL,MCE,None,0
C8R.SI,Jiutian Chemical Group Limited,SES,Chemicals - Major Diversified,110
BPKKF,BP CASTROL KK,PNK,None,0
ICH,None,ASE,None,0
YBR.AX,Yellow Brick Road Holdings Limited,ASX,Asset Management,422
MDNL.OB,None,OBB,None,0
ICL,Israel Chemicals Ltd.,NYQ,None,0
ICB,Morgan Stanley Income Securities Inc.,NYQ,Closed-End Fund - Debt,425
ICA,"Empresas ICA, S.A.B. de C.V.",NYQ,Heavy Construction,635
ICE,"Intercontinental Exchange, Inc.",NYQ,Diversified Investments,423
ICD,"Independence Contract Drilling, Inc.",NYQ,Oil & Gas Drilling & Exploration,123
TGDBF,TRANSPORTADORA DE GA,PNK,None,0
FBDU.L,Flying Brands Ltd.,LSE,Property Management,448
VSI,"Vitamin Shoppe, Inc.",NYQ,"Specialty Retail, Other",745
PCV.HM,PROVALUTA REC,HAM,None,0
YUM.SW,YUM BRANDS,EBS,None,0
7003.KL,Y&G Corporation Bhd,KLS,None,0
ZIM.DU,ZIMMER BIOMET HLDGS,DUS,Medical Appliances & Equipment,521
BIU2.HM,CN EVERBRIGHT WTR,HAM,None,0
C-PN,Citigroup Capital VIII 7.875% F,NYQ,None,0
VVN.V,Victory Ventures Inc.,VAN,Industrial Metals & Minerals,133
O2F.F,ORIX JREIT,FRA,REIT - Office,441
RYLBF,Royal BK CDA Montreal PFD SHS S,PNK,None,0
AILFQ,Lexicon Building Systems Ltd.,PNK,None,0
CJEWY,Chow Tai Fook Jewellery Group Ltd.,PNK,None,0
ENCB,"Encore Brands, Inc.",PNK,Beverages - Wineries & Distillers,347
ENCC,Encompass Compliance Corp.,PNK,Rubber & Plastics,322
OPESF,Opera Software ASA,PNK,None,0
MTXXY,METALS X LTD,PNK,None,0
YTS.F,CYTOS BIOTECHNOLO N,FRA,Biotechnology,515
OPESY,Opera Software ASA,PNK,None,0
1418.HK,Sinomax Group Limited,HKG,None,0
NZYM-B.CO,Novozymes A/S,CPH,None,0
ATCEY,Altice N.V.,PNK,None,0
CJEWF,Chow Tai Fook Jewellery Group Ltd.,PNK,None,0
VSN-PE.TO,VERESEN INC PREF SH SERIES E,TOR,None,0
ZMMR.TA,ZIM DIRECT MARKET,TLV,None,0
RY.TO,Royal Bank of Canada,TOR,Money Center Banks,410
SIX3.F,SIXT VZ,FRA,Rental & Leasing Services,761
DDEJF,Dundee Corporation,PNK,None,0
W7D.F,WORKDAY-A,FRA,None,0
NPM,"Nuveen Premium Income Municipal Fund 2, Inc.",NYQ,Closed-End Fund - Debt,425
NPO,"EnPro Industries, Inc.",NYQ,Industrial Equipment & Components,621
NPN,Nuveen Pennsylvania Municipal Value Fund,ASE,Closed-End Fund - Debt,425
NPI,"Nuveen Premium Income Municipal Fund, Inc.",NYQ,Closed-End Fund - Debt,425
NPK,National Presto Industries Inc.,NYQ,Aerospace/Defense Products & Services,611
HOKCY,The Hong Kong and China Gas Company Limited,PNK,None,0
BWPCE.OB,None,OBB,None,0
NPF,"Nuveen Premier Municipal Income Fund, Inc.",NYQ,Closed-End Fund - Debt,425
SOJA,Southern Company,NYQ,None,0
HOKCF,The Hong Kong and China Gas Company Limited,PNK,None,0
NPT,"Nuveen Premium Income Municipal Fund 4, Inc.",NYQ,Closed-End Fund - Debt,425
QLT.BK,Qualitech Public Company Limited,SET,None,0
NPV,Nuveen Virginia Premium Income Municipal Fund,NYQ,Diversified Investments,423
NPP,"Nuveen Performance Plus Municipal Fund, Inc.",NYQ,Closed-End Fund - Debt,425
EMCI,EMC Insurance Group Inc.,NMS,Property & Casualty Insurance,432
JMART.BK,Jay Mart Public Company Limited,SET,None,0
NWGFF,New Age Farm Inc.,PNK,None,0
TNABY,Tenaga Nasional Berhad,PNK,None,0
EMCG,WisdomTree Emerging Markets Cnsmr Gr ETF,NGM,None,0
EMCF,Emclaire Financial Corp.,NCM,Regional - Northeast Banks,411
TFBN,TFN FOOTBALL NTWK IN,PNK,None,0
DLS.AX,"Drillsearch Energy, Ltd.",ASX,Independent Oil & Gas,121
VU1.F,AURA ENERGY,FRA,None,0
TNABF,TENAGA NASIONAL BERH,PNK,None,0
OXTKA.SW,THYSSENKRUPP ,EBS,None,0
NHPC.BO,NHPC Ltd.,BSE,Electric Utilities,911
JT9.MU,EURO ASIA PREM,MUN,None,0
MODAIRY.BO,Modern Dairies Limited,BSE,Food - Major Diversified,340
TORNTPHAR.NS,Torrent Pharmaceuticals Ltd.,NSI,Drug Manufacturers - Major,510
0520-OL.HK,XIABUXIABU,HKG,None,0
BGSWF,BW Offshore Limited,PNK,None,0
AMZ.DE,"Amazon.com, Inc.",GER,"Specialty Retail, Other",745
AGODY,Atlas Iron Limited,PNK,None,0
XONE.SW,THE EXONE,EBS,None,0
002720.KS,Kukje Pharmaceutical Industrial Co. Ltd.,KSC,None,0
SYRVF,Sacyr SA,PNK,None,0
OOMA,"Ooma, Inc.",NYQ,Diversified Communication Services,846
CTY.L,The City of London Investment Trust plc,LSE,Asset Management,422
LOAN,"Manhattan Bridge Capital, Inc.",NCM,Credit Services,424
BABL,Buildablock Corp.,PNK,None,0
IIREF,iShares Public Limited Company - iShares MSCI World UCITS ETF (Dist),PNK,None,0
HRTCF,HIRANO TECSEED CO,PNK,None,0
T4B.SI,Sino Grandness Food Industry Group Limited,SES,Food - Major Diversified,340
FRO.OL,Frontline Ltd.,OSL,Shipping,775
CSHZ,None,OBB,None,0
VCANF,VOLCAN COMAPNIA MINE,PNK,None,0
0YYA.HM,YY SP ADR-A,HAM,None,0
YAHOF,Yahoo Japan Corporation,PNK,None,0
W05.SI,Wing Tai Holdings Limited,SES,Property Management,448
VOW.BE,VOLKSWAGEN,BER,Auto Manufacturers - Major,330
LNT,Alliant Energy Corporation,NYQ,Electric Utilities,911
TETAA,"Teton Advisors, Inc",PNK,None,0
JEN.HA,JENOPTIK,HAN,Diversified Electronics,836
X9CN.BE,EXCALIBUR RES,BER,Industrial Metals & Minerals,133
YAHOY,Yahoo Japan Corporation,PNK,None,0
8MZ.SG,MAS ZAN,STU,None,0
NLN.TO,"NeuLion, Inc.",TOR,Broadcasting - TV,723
NZE.BE,ZEON ,BER,Rubber & Plastics,322
1B9.F,BOOHOO.COM,FRA,None,0
WHE.F,PACIFIC TEXTILES,FRA,Textile Industrial,628
CATWF,China Tontine Wines Group Limited,PNK,None,0
MKY.MU,MOBILE TELES SP ADR,MUN,Wireless Communications,840
CVK.DU,CON VALUE,DUS,None,0
ESOFT.CO,esoft systems a/s,CPH,Advertising Agencies,720
CNCE,"Concert Pharmaceuticals, Inc.",NGM,Biotechnology,515
PBI-PB,Pitney Bowes Inc 6.70% Notes Du,NYQ,None,0
CNCO,Cencosud S.A.,NYQ,"Specialty Retail, Other",745
ONYX,"Onyx Service & Solutions, Inc.",PNK,Business Equipment,313
CNCK,"Content Checked Holdings, Inc.",OBB,Application Software,821
CNCT,"China Teletech Holding, Inc.",PNK,None,0
CNCR,ETF Series Solutions - Loncar Cancer Immunotherapy ETF,NGM,None,0
SHL.AX,Sonic Healthcare Limited,ASX,Hospitals,524
VELPL,None,PNK,None,0
VELPO,None,PNK,None,0
VELPI,None,PNK,None,0
TXMD,"TherapeuticsMD, Inc.",ASE,Drug Manufacturers - Major,510
XTA.MU,TIGER AIRWAYS,MUN,Major Airlines,770
008060.KS,Daeduck Electronics Co. Ltd.,KSC,None,0
ELM.L,Elementis plc,LSE,Specialty Chemicals,113
BNHLF,Telesta Therapeutics Inc.,PNK,None,0
WCH.MU,WACKER CHEMIE,MUN,Chemicals - Major Diversified,110
CSNVF,Corbion N.V.,PNK,None,0
079370.KQ,"Zeus Co., Ltd.",KOE,None,0
ZTSTF,ZTEST ELECTRONICS,PNK,None,0
MONY.L,Moneysupermarket.com Group PLC,LSE,Internet Information Providers,851
GTOFFSHOR.NS,GOL Offshore Limited,NSI,Oil & Gas Equipment & Services,124
PBPB,Potbelly Corporation,NMS,Specialty Eateries,713
RFMK,"Rapid Fire Marketing, Inc.",PNK,None,0
CSNVY,Corbion N.V.,PNK,None,0
PDV.TO,Prime Dividend Corp.,TOR,None,0
